,msa,state,fips,FIPS,CBSA,sex,q7_family_members,NO family,Family Available,usborn1a,q17,q38,party,ideo,qe3,age,educ,hisp,race,relig,income,phoneuse,recage,receduc,racethn,weight
391,41180,Missouri,29189,29189,41180,Male,None,1,0,"Yes, born in U.S.",Kansas,Alaska,Republican,Conservative,Full-time,28,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000",Dual/most cell,25-34,COLLEGE+,White~H,1.770833333
392,41180,Missouri,29189,29189,41180,Female,6 up to 10,0,1,"Yes, born in U.S.",Missouri,Don't know/Refused,Republican,Conservative,Not employed,73,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",65+,SOME COLL,White~H,1.875
393,41180,Missouri,29189,29189,41180,Female,More than 20,0,1,"Yes, born in U.S.",Missouri,Illinois,Democrat,Liberal,Full-time,21,"Some college, no 4-year degree (including associate degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",18-24,SOME COLL,Black~H,3.075471698
394,41180,Missouri,29189,29189,41180,Male,None,1,0,"Yes, born in U.S.",Ohio,California,Independent,Conservative,Full-time,52,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",Yes,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more","Dual/few, some cell",45-54,COLLEGE+,Hispanic,3.166666667
395,41180,Missouri,29189,29189,41180,Male,Don't know/Refused,0,1,"Yes, born in U.S.",Missouri,Missouri,Republican,Conservative,Not employed,86,High school graduate (Grade 12 or GED certificate),No,White,Roman Catholic (Catholic),Don't know/Refused,LLO,65+,HS GRAD,White~H,3.023809524
396,41180,Missouri,29189,29189,41180,Male,1 up to 5,0,1,"Yes, born in U.S.",Washington,Montana,Democrat,Conservative,Not employed,68,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000","Dual/few, some cell",65+,COLLEGE+,White~H,1.166666667
397,0,New York,36011,36011,12180,Female,More than 20,0,1,"Yes, born in U.S.",New York,South Carolina,Democrat,Moderate,Part-time,47,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$100,000 to under $150,000","Dual/few, some cell",45-54,SOME COLL,White~H,2.3125
398,46540,New York,36065,36065,46540,Female,More than 20,0,1,"Yes, born in U.S.",New York,New York,Independent,Conservative,Part-time,73,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",65+,SOME COLL,White~H,1.291666667
399,0,New York,36011,36011,12180,Female,None,1,0,"Yes, born in U.S.",Maine,New York,Democrat,Moderate,Not employed,85,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",65+,SOME COLL,White~H,1.291666667
400,45060,New York,36067,36067,45060,Female,None,1,0,"Yes, born in U.S.",New York,New York,Don't know/Refused,Liberal,Not employed,30,High school incomplete (Grades 9-11),No,Black,Muslim (Islam),"Less than $10,000",CPO,25-34,LT HS,Black~H,5.041666667
401,45060,New York,36067,36067,45060,Female,6 up to 10,0,1,"Yes, born in U.S.",New York,South Carolina,Republican,Moderate,Part-time,20,"Some college, no 4-year degree (including associate degree)",No,White,Something else (VOL. SPECIFY),"$20,000 to under $30,000",CPO,18-24,SOME COLL,White~H,6.071428571
402,45060,New York,36075,36075,45060,Male,6 up to 10,0,1,"Yes, born in U.S.",New York,New York,Independent,Very liberal,Not employed,63,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Nothing in particular,Don't know/Refused,"Dual/few, some cell",55-64,COLLEGE+,White~H,1.428571429
403,45060,New York,36067,36067,45060,Male,11 up to 20,0,1,"Yes, born in U.S.",New York,New York,Democrat,Moderate,Full-time,Don't know/Refused,"Some college, no 4-year degree (including associate degree)",No,Don't know/Refused,Roman Catholic (Catholic),"$100,000 to under $150,000","Dual/few, some cell",,SOME COLL,,1.58490566
404,45060,New York,36067,36067,45060,Male,None,1,0,"Yes, born in U.S.",New York,Florida,Republican,Moderate,Full-time,54,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",45-54,COLLEGE+,White~H,1.396226415
405,46540,New York,36065,36065,46540,Female,11 up to 20,0,1,"Yes, born in U.S.",New York,Florida,Republican,Liberal,Not employed,49,"Some college, no 4-year degree (including associate degree)",No,White,Christian (VOL.),"$40,000 to under $50,000",LLO,45-54,SOME COLL,White~H,2.020833333
406,45060,New York,36053,36053,45060,Female,1 up to 5,0,1,"Yes, born in U.S.",New York,New York,No preference (VOL.),Don't know/Refused,Full-time,57,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,Dual/most cell,55-64,SOME COLL,White~H,1
407,45060,New York,36075,36075,45060,Male,1 up to 5,0,1,"Yes, born in U.S.",New York,Tennessee,No preference (VOL.),Conservative,Full-time,50,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more","Dual/few, some cell",45-54,COLLEGE+,White~H,1.666666667
408,48620,Kansas,20173,20173,48620,Male,6 up to 10,0,1,"Yes, born in U.S.",Florida,Florida,Democrat,Moderate,Not employed,56,"Some college, no 4-year degree (including associate degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",55-64,SOME COLL,Black~H,2.018867925
409,48620,Kansas,20173,20173,48620,Male,More than 20,0,1,"Yes, born in U.S.",Kansas,Kentucky,Independent,Conservative,Full-time,21,High school graduate (Grade 12 or GED certificate),No,White,Roman Catholic (Catholic),"$30,000 to under $40,000",CPO,18-24,HS GRAD,White~H,4.113207547
410,48620,Kansas,20173,20173,48620,Female,More than 20,0,1,"Yes, born in U.S.",Kansas,Kansas,Republican,Moderate,Don't know/Refused,79,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more",LLO,65+,SOME COLL,White~H,1.071428571
411,48620,Kansas,20173,20173,48620,Female,None,1,0,"Yes, born in U.S.",Michigan,Kansas,Democrat,Liberal,Part-time,71,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",65+,COLLEGE+,White~H,1.238095238
412,48620,Kansas,20173,20173,48620,Male,1 up to 5,0,1,"Yes, born in U.S.",Kansas,Colorado,Republican,Conservative,Full-time,60,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.375
413,48620,Kansas,20173,20173,48620,Male,11 up to 20,0,1,"Yes, born in U.S.",Kansas,Kansas,Republican,Conservative,Not employed,57,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,Dual/most cell,55-64,COLLEGE+,White~H,1
414,48620,Kansas,20113,20113,32700,Male,6 up to 10,0,1,"Yes, born in U.S.",California,Tennessee,Independent,Moderate,Full-time,20,High school graduate (Grade 12 or GED certificate),Yes,White,Christian (VOL.),Don't know/Refused,CPO,18-24,HS GRAD,Hispanic,2.666666667
415,26900,Indiana,18097,18097,26900,Male,More than 20,0,1,"Yes, born in U.S.",Indiana,Indiana,Independent,Conservative,Not employed,77,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000",LLO,65+,HS GRAD,White~H,3.041666667
416,26900,Indiana,18059,18059,26900,Female,11 up to 20,0,1,"Yes, born in U.S.",Indiana,South Carolina,Independent,Moderate,Full-time,53,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Roman Catholic (Catholic),"$150,000 or more","Dual/few, some cell",45-54,COLLEGE+,White~H,1.583333333
417,26900,Indiana,18097,18097,26900,Male,1 up to 5,0,1,"Yes, born in U.S.",Virginia,Indiana,Republican,Conservative,Full-time,28,High school graduate (Grade 12 or GED certificate),No,White,Christian (VOL.),"$50,000 to under $75,000",Dual/most cell,25-34,HS GRAD,White~H,3.5625
418,26900,Indiana,18097,18097,26900,Female,None,1,0,"Yes, born in U.S.",Nebraska,Nebraska,Democrat,Moderate,Full-time,27,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","Less than $10,000",CPO,25-34,COLLEGE+,White~H,3.625
419,26900,Indiana,18097,18097,26900,Male,1 up to 5,0,1,"Yes, born in U.S.",Indiana,Florida,Independent,Moderate,Not employed,78,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),Don't know/Refused,"Dual/few, some cell",65+,SOME COLL,White~H,2.25
420,26900,Indiana,18097,18097,26900,Female,1 up to 5,0,1,"Yes, born in U.S.",Indiana,Indiana,Democrat,Moderate,Full-time,53,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000","Dual/few, some cell",45-54,COLLEGE+,White~H,3.083333333
421,26900,Indiana,18097,18097,26900,Male,1 up to 5,0,1,"Yes, born in U.S.",Indiana,Tennessee,Independent,Conservative,Full-time,32,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",25-34,SOME COLL,White~H,6.071428571
422,26900,Indiana,18097,18097,26900,Male,1 up to 5,0,1,"Yes, born in U.S.",Tennessee,Colorado,Democrat,Moderate,Full-time,54,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$40,000 to under $50,000","Dual/few, some cell",45-54,HS GRAD,White~H,5.5
423,26900,Indiana,18035,18035,34620,Female,1 up to 5,0,1,"Yes, born in U.S.",Indiana,Illinois,Democrat,Moderate,Part-time,22,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000",CPO,18-24,SOME COLL,White~H,1.830188679
424,0,Louisiana,22127,22127,#N/A,Female,None,1,0,"Yes, born in U.S.",Massachusetts,North Carolina,Democrat,Moderate,Full-time,49,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,Dual/most cell,45-54,SOME COLL,White~H,1.166666667
425,33740,Louisiana,22073,22073,33740,Female,6 up to 10,0,1,"Yes, born in U.S.",Louisiana,Washington,Democrat,Moderate,Full-time,50,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",45-54,COLLEGE+,Black~H,2.30952381
426,33740,Louisiana,22073,22073,33740,Female,11 up to 20,0,1,"Yes, born in U.S.",Arkansas,Don't know/Refused,Democrat,Don't know/Refused,Not employed,Don't know/Refused,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,,,HS GRAD,White~H,4.291666667
427,43340,Louisiana,22015,22015,43340,Female,1 up to 5,0,1,"Yes, born in U.S.",Louisiana,Louisiana,Republican,Very conservative,Not employed,28,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$40,000 to under $50,000",CPO,25-34,SOME COLL,White~H,3.8125
428,43340,Louisiana,22017,22017,43340,Female,1 up to 5,0,1,"Yes, born in U.S.",Louisiana,New York,Democrat,Moderate,Not employed,48,High school graduate (Grade 12 or GED certificate),No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","Less than $10,000",LLO,45-54,HS GRAD,Black~H,1.958333333
429,33740,Arkansas,5023,05023,#N/A,Female,None,1,0,"Yes, born in U.S.",Louisiana,Montana,Independent,Moderate,Not employed,24,"Some college, no 4-year degree (including associate degree)",No,White,Nothing in particular,"$50,000 to under $75,000",Dual/most cell,18-24,SOME COLL,White~H,3.404761905
430,43340,Louisiana,22017,22017,43340,Female,1 up to 5,0,1,"Yes, born in U.S.",Louisiana,Utah,Democrat,Liberal,Not employed,61,"Some college, no 4-year degree (including associate degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",55-64,SOME COLL,Black~H,1.142857143
431,0,Louisiana,22013,22013,#N/A,Female,6 up to 10,0,1,"Yes, born in U.S.",Louisiana,Louisiana,Democrat,Moderate,Part-time,62,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",55-64,SOME COLL,White~H,1.773584906
432,43340,Louisiana,22031,22031,43340,Male,11 up to 20,0,1,"Yes, born in U.S.",Louisiana,Colorado,Democrat,Conservative,Full-time,38,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",35-44,COLLEGE+,White~H,2.166666667
433,43340,Louisiana,22015,22015,43340,Male,6 up to 10,0,1,"Yes, born in U.S.",Arkansas,Louisiana,Democrat,Moderate,Not employed,68,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",65+,SOME COLL,White~H,1.566037736
434,47940,Iowa,19013,19013,47940,Female,11 up to 20,0,1,"Yes, born in U.S.",Iowa,New York,Democrat,Conservative,Full-time,38,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000","Dual/few, some cell",35-44,HS GRAD,White~H,3.479166667
435,0,Iowa,19111,19111,22800,Female,6 up to 10,0,1,"Yes, born in U.S.",Iowa,Iowa,Other party (VOL.),Moderate,Not employed,77,"Some college, no 4-year degree (including associate degree)",No,White,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Don't know/Refused,LLO,65+,SOME COLL,White~H,1
436,16300,Iowa,19113,19113,16300,Female,1 up to 5,0,1,"Yes, born in U.S.",Iowa,Iowa,Independent,Moderate,Full-time,55,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1
437,16300,Iowa,19113,19113,16300,Male,None,1,0,"Yes, born in U.S.",Iowa,Wyoming,Democrat,Moderate,Not employed,Don't know/Refused,"College graduate (B.S., B.A., or other 4-year degree)",No,Don't know/Refused,Nothing in particular,Don't know/Refused,"Dual/few, some cell",,COLLEGE+,,1.320754717
438,16300,Iowa,19043,19043,#N/A,Female,6 up to 10,0,1,"Yes, born in U.S.",Iowa,Iowa,Republican,Moderate,Not employed,27,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000",CPO,25-34,SOME COLL,White~H,5
439,0,Iowa,19115,19115,#N/A,Female,1 up to 5,0,1,"Yes, born in U.S.",Iowa,California,Democrat,Liberal,Full-time,26,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Nothing in particular,"$10,000 to under $20,000",Dual/most cell,25-34,COLLEGE+,White~H,1.041666667
440,0,Iowa,19087,19087,#N/A,Female,6 up to 10,0,1,"Yes, born in U.S.",Iowa,Arizona,Independent,Liberal,Full-time,45,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$50,000 to under $75,000","Dual/few, some cell",45-54,SOME COLL,White~H,1.79245283
441,41060,Minnesota,27009,27009,41060,Male,11 up to 20,0,1,"Yes, born in U.S.",Minnesota,Minnesota,Independent,Moderate,Full-time,42,High school graduate (Grade 12 or GED certificate),No,White,Nothing in particular,"$40,000 to under $50,000","Dual/few, some cell",35-44,HS GRAD,White~H,3.119047619
442,41060,Minnesota,27153,27153,#N/A,Male,More than 20,0,1,"Yes, born in U.S.",Minnesota,Minnesota,Democrat,Moderate,Part-time,74,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","Less than $10,000",Dual/most cell,65+,HS GRAD,White~H,1.523809524
443,41060,Minnesota,27145,27145,41060,Male,More than 20,0,1,"Yes, born in U.S.",Minnesota,Arizona,Independent,Moderate,Full-time,28,High school incomplete (Grades 9-11),Yes,White,Roman Catholic (Catholic),"$30,000 to under $40,000",CPO,25-34,LT HS,Hispanic,5.375
444,0,Minnesota,27085,27085,26780,Male,11 up to 20,0,1,"Yes, born in U.S.",Minnesota,Florida,Republican,Conservative,Full-time,45,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",45-54,SOME COLL,White~H,2.166666667
445,41060,Minnesota,27009,27009,41060,Male,More than 20,0,1,"Yes, born in U.S.",Wisconsin,Minnesota,No preference (VOL.),Moderate,Full-time,30,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$40,000 to under $50,000",Dual/most cell,25-34,HS GRAD,White~H,2.261904762
446,0,Minnesota,27095,27095,33460,Male,6 up to 10,0,1,"Yes, born in U.S.",California,Minnesota,Republican,Moderate,Not employed,67,High school graduate (Grade 12 or GED certificate),No,White,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),"$20,000 to under $30,000","Dual/few, some cell",65+,HS GRAD,White~H,2.377358491
447,0,Minnesota,27011,27011,#N/A,Male,1 up to 5,0,1,"Yes, born in U.S.",Minnesota,Minnesota,Independent,Conservative,Full-time,43,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",35-44,HS GRAD,White~H,3.270833333
448,0,Minnesota,27067,27067,48820,Male,6 up to 10,0,1,"Yes, born in U.S.",Minnesota,South Dakota,Democrat,Liberal,Full-time,58,"Technical, trade, or vocational school AFTER high school",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",55-64,HS GRAD,White~H,3.404761905
449,36740,Florida,12097,12097,36740,Female,1 up to 5,0,1,"Yes, born in U.S.",New York,North Carolina,Democrat,Liberal,Full-time,26,"Some college, no 4-year degree (including associate degree)",Yes,White,Christian (VOL.),"$20,000 to under $30,000",CPO,25-34,SOME COLL,Hispanic,4.238095238
450,36740,Florida,12095,12095,36740,Female,11 up to 20,0,1,"Yes, born in U.S.",Florida,Florida,Democrat,Conservative,Full-time,25,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000",Dual/most cell,25-34,HS GRAD,White~H,3.583333333
451,31100,California,6037,06037,31080,Male,None,1,0,"Yes, born in U.S.",Tennessee,Don't know/Refused,Democrat,Very liberal,Part-time,40,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Agnostic (not sure if there is a God),"$75,000 to under $100,000",LLO,35-44,COLLEGE+,White~H,3.75
452,31100,California,6037,06037,31080,Female,6 up to 10,0,1,"Yes, born in U.S.",California,California,Democrat,Very liberal,Full-time,53,"Some college, no 4-year degree (including associate degree)",No,White,Nothing in particular,"$50,000 to under $75,000","Dual/few, some cell",45-54,SOME COLL,White~H,4.895833333
453,31100,California,6037,06037,31080,Female,1 up to 5,0,1,"Yes, born in U.S.",Ohio,California,Democrat,Liberal,Part-time,83,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Jewish (Judaism),"$50,000 to under $75,000","Dual/few, some cell",65+,COLLEGE+,White~H,1.976190476
454,31100,Washington,53063,53063,44060,Male,None,1,0,"No, some other country",,Don't know/Refused,Independent,Moderate,Full-time,40,High school graduate (Grade 12 or GED certificate),Yes,Black,Roman Catholic (Catholic),"$10,000 to under $20,000",CPO,35-44,HS GRAD,Hispanic,4.229166667
455,31100,California,6037,06037,31080,Male,None,1,0,"Yes, born in U.S.",Arkansas,California,Independent,Moderate,Full-time,60,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Nothing in particular,"$100,000 to under $150,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.867924528
456,31100,California,6037,06037,31080,Female,6 up to 10,0,1,"Yes, born in U.S.",Illinois,California,Democrat,Very liberal,Not employed,84,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Nothing in particular,"$30,000 to under $40,000",LLO,65+,COLLEGE+,White~H,2.333333333
457,31100,California,6037,06037,31080,Female,None,1,0,"No, some other country",,California,Democrat,Very liberal,Full-time,46,"None, or grade 1-8",Yes,White,Nothing in particular,"$20,000 to under $30,000","Dual/few, some cell",45-54,LT HS,Hispanic,4.928571429
458,10180,Texas,48399,48399,#N/A,Male,More than 20,0,1,"Yes, born in U.S.",Texas,Texas,Republican,Moderate,Full-time,20,High school graduate (Grade 12 or GED certificate),Yes,White,Christian (VOL.),"$20,000 to under $30,000",Dual/most cell,18-24,HS GRAD,Hispanic,1.604166667
459,15940,Ohio,39151,39151,15940,Male,11 up to 20,0,1,"Yes, born in U.S.",Ohio,Florida,Independent,Moderate,Full-time,37,"Technical, trade, or vocational school AFTER high school",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",35-44,HS GRAD,White~H,4.333333333
460,0,Ohio,39075,39075,#N/A,Female,11 up to 20,0,1,"Yes, born in U.S.",Ohio,Tennessee,Democrat,Conservative,Not employed,78,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,LLO,65+,HS GRAD,White~H,1.854166667
461,15940,Ohio,39151,39151,15940,Male,6 up to 10,0,1,"Yes, born in U.S.",Ohio,Don't know/Refused,Democrat,Moderate,Full-time,55,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",55-64,SOME COLL,White~H,1.566037736
462,49660,Ohio,39155,39155,49660,Female,6 up to 10,0,1,"Yes, born in U.S.",Ohio,Florida,Democrat,Moderate,Full-time,48,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",45-54,SOME COLL,White~H,2.3125
463,0,Ohio,39029,39029,41400,Male,More than 20,0,1,"Yes, born in U.S.",Ohio,Ohio,Republican,Conservative,Not employed,19,High school graduate (Grade 12 or GED certificate),No,White,Nothing in particular,"$20,000 to under $30,000",Dual/most cell,18-24,HS GRAD,White~H,1.479166667
464,49660,Ohio,39155,39155,49660,Female,6 up to 10,0,1,"Yes, born in U.S.",Ohio,Kentucky,Republican,Moderate,Full-time,97 or older,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$50,000 to under $75,000",Dual/most cell,65+,COLLEGE+,White~H,1
465,0,Ohio,39169,39169,49300,Female,6 up to 10,0,1,"Yes, born in U.S.",Ohio,Virginia,Democrat,Moderate,Full-time,54,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",45-54,COLLEGE+,White~H,1.283018868
466,15940,Ohio,39151,39151,15940,Female,6 up to 10,0,1,"Yes, born in U.S.",Ohio,North Carolina,Democrat,Conservative,Not employed,72,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$20,000 to under $30,000","Dual/few, some cell",65+,HS GRAD,White~H,2.833333333
467,0,Ohio,39081,39081,48260,Male,More than 20,0,1,"Yes, born in U.S.",Ohio,Hawaii,Republican,Moderate,Full-time,43,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000",LLO,35-44,HS GRAD,White~H,2.80952381
468,10420,Ohio,39133,39133,10420,Female,None,1,0,"Yes, born in U.S.",Ohio,Ohio,Democrat,Very liberal,Part-time,65,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",65+,COLLEGE+,White~H,1.270833333
